# 576  5.000000 5.000000 5.000000
 2.97438	 1.16846	-3.84549	 0.59488	 0.23369	-0.76910	 0.54542
 2.64612	 1.82852	-3.82812	 0.52922	 0.36570	-0.76562	 0.54542
 2.17607	 2.39641	-3.81076	 0.43521	 0.47928	-0.76215	 0.54542
 1.58961	 2.84311	-3.79340	 0.31792	 0.56862	-0.75868	 0.54542
 0.91764	 3.14634	-3.77604	 0.18353	 0.62927	-0.75521	 0.54542
 0.19485	 3.29156	-3.75868	 0.03897	 0.65831	-0.75174	 0.54542
-0.54215	 3.27240	-3.74132	-0.10843	 0.65448	-0.74826	 0.54542
-1.25669	 3.09077	-3.72396	-0.25134	 0.61815	-0.74479	 0.54542
-1.91383	 2.75651	-3.70660	-0.38277	 0.55130	-0.74132	 0.54542
-2.48204	 2.28670	-3.68924	-0.49641	 0.45734	-0.73785	 0.54542
-2.93456	 1.70461	-3.67188	-0.58691	 0.34092	-0.73438	 0.54542
-3.25056	 1.03845	-3.65451	-0.65011	 0.20769	-0.73090	 0.54542
-3.41596	 0.31992	-3.63715	-0.68319	 0.06398	-0.72743	 0.54542
-3.42387	-0.41736	-3.61979	-0.68477	-0.08347	-0.72396	 0.54542
-3.27477	-1.13947	-3.60243	-0.65495	-0.22789	-0.72049	 0.54542
-2.97622	-1.81367	-3.58507	-0.59524	-0.36273	-0.71701	 0.54542
-2.54240	-2.40991	-3.56771	-0.50848	-0.48198	-0.71354	 0.54542
-1.99329	-2.90204	-3.55035	-0.39866	-0.58041	-0.71007	 0.54542
-1.35365	-3.26889	-3.53299	-0.27073	-0.65378	-0.70660	 0.54542
-0.65180	-3.49507	-3.51562	-0.13036	-0.69901	-0.70312	 0.54542
 0.08162	-3.57148	-3.49826	 0.01632	-0.71430	-0.69965	 0.54542
 0.81511	-3.49556	-3.48090	 0.16302	-0.69911	-0.69618	 0.54542
 1.51757	-3.27122	-3.46354	 0.30351	-0.65424	-0.69271	 0.54542
 2.15965	-2.90856	-3.44618	 0.43193	-0.58171	-0.68924	 0.54542
 2.71492	-2.42330	-3.42882	 0.54298	-0.48466	-0.68576	 0.54542
 3.16087	-1.83598	-3.41146	 0.63217	-0.36720	-0.68229	 0.54542
 3.47976	-1.17105	-3.39410	 0.69595	-0.23421	-0.67882	 0.54542
 3.65923	-0.45577	-3.37674	 0.73185	-0.09115	-0.67535	 0.54542
 3.69265	 0.28094	-3.35938	 0.73853	 0.05619	-0.67188	 0.54542
 3.57932	 1.00964	-3.34201	 0.71586	 0.20193	-0.66840	 0.54542
 3.32432	 1.70163	-3.32465	 0.66486	 0.34033	-0.66493	 0.54542
 2.93821	 2.32996	-3.30729	 0.58764	 0.46599	-0.66146	 0.54542
 2.43651	 2.87050	-3.28993	 0.48730	 0.57410	-0.65799	 0.54542
 1.83899	 3.30279	-3.27257	 0.36780	 0.66056	-0.65451	 0.54542
 1.16886	 3.61073	-3.25521	 0.23377	 0.72215	-0.65104	 0.54542
 0.45179	 3.78315	-3.23785	 0.09036	 0.75663	-0.64757	 0.54542
-0.28508	 3.81408	-3.22049	-0.05702	 0.76282	-0.64410	 0.54542
-1.01417	 3.70290	-3.20313	-0.20283	 0.74058	-0.64063	 0.54542
-1.70852	 3.45425	-3.18576	-0.34170	 0.69085	-0.63715	 0.54542
-2.34274	 3.07779	-3.16840	-0.46855	 0.61556	-0.63368	 0.54542
-2.89391	 2.58771	-3.15104	-0.57878	 0.51754	-0.63021	 0.54542
-3.34236	 2.00217	-3.13368	-0.66847	 0.40043	-0.62674	 0.54542
-3.67234	 1.34255	-3.11632	-0.73447	 0.26851	-0.62326	 0.54542
-3.87249	 0.63267	-3.09896	-0.77450	 0.12653	-0.61979	 0.54542
-3.93616	-0.10213	-3.08160	-0.78723	-0.02043	-0.61632	 0.54542
-3.86157	-0.83592	-3.06424	-0.77231	-0.16718	-0.61285	 0.54542
-3.65180	-1.54303	-3.04688	-0.73036	-0.30861	-0.60938	 0.54542
-3.31458	-2.19900	-3.02951	-0.66292	-0.43980	-0.60590	 0.54542
-2.86196	-2.78138	-3.01215	-0.57239	-0.55628	-0.60243	 0.54542
-2.30984	-3.27045	-2.99479	-0.46197	-0.65409	-0.59896	 0.54542
-1.67731	-3.64987	-2.97743	-0.33546	-0.72997	-0.59549	 0.54542
-0.98604	-3.90714	-2.96007	-0.19721	-0.78143	-0.59201	 0.54542
-0.25943	-4.03400	-2.94271	-0.05189	-0.80680	-0.58854	 0.54542
 0.47813	-4.02663	-2.92535	 0.09563	-0.80533	-0.58507	 0.54542
 1.20215	-3.88567	-2.90799	 0.24043	-0.77713	-0.58160	 0.54542
 1.88877	-3.61619	-2.89062	 0.37775	-0.72324	-0.57812	 0.54542
 2.51560	-3.22740	-2.87326	 0.50312	-0.64548	-0.57465	 0.54542
 3.06240	-2.73232	-2.85590	 0.61248	-0.54646	-0.57118	 0.54542
 3.51167	-2.14730	-2.83854	 0.70233	-0.42946	-0.56771	 0.54542
 3.84923	-1.49144	-2.82118	 0.76985	-0.29829	-0.56424	 0.54542
 4.06459	-0.78594	-2.80382	 0.81292	-0.15719	-0.56076	 0.54542
 4.15124	-0.05341	-2.78646	 0.83025	-0.01068	-0.55729	 0.54542
 4.10680	 0.68289	-2.76910	 0.82136	 0.13658	-0.55382	 0.54542
 3.93301	 1.39977	-2.75174	 0.78660	 0.27995	-0.55035	 0.54542
 3.63569	 2.07484	-2.73437	 0.72714	 0.41497	-0.54687	 0.54542
 3.22441	 2.68720	-2.71701	 0.64488	 0.53744	-0.54340	 0.54542
 2.71221	 3.21804	-2.69965	 0.54244	 0.64361	-0.53993	 0.54542
 2.11515	 3.65123	-2.68229	 0.42303	 0.73025	-0.53646	 0.54542
 1.45172	 3.97374	-2.66493	 0.29034	 0.79475	-0.53299	 0.54542
 0.74234	 4.17604	-2.64757	 0.14847	 0.83521	-0.52951	 0.54542
 0.00862	 4.25229	-2.63021	 0.00172	 0.85046	-0.52604	 0.54542
-0.72723	 4.20050	-2.61285	-0.14545	 0.84010	-0.52257	 0.54542
-1.44312	 4.02254	-2.59549	-0.28862	 0.80451	-0.51910	 0.54542
-2.11771	 3.72405	-2.57812	-0.42354	 0.74481	-0.51562	 0.54542
-2.73105	 3.31419	-2.56076	-0.54621	 0.66284	-0.51215	 0.54542
-3.26515	 2.80534	-2.54340	-0.65303	 0.56107	-0.50868	 0.54542
-3.70445	 2.21272	-2.52604	-0.74089	 0.44254	-0.50521	 0.54542
-4.03633	 1.55390	-2.50868	-0.80727	 0.31078	-0.50174	 0.54542
-4.25133	 0.84823	-2.49132	-0.85027	 0.16965	-0.49826	 0.54542
-4.34350	 0.11632	-2.47396	-0.86870	 0.02326	-0.49479	 0.54542
-4.31044	-0.62064	-2.45660	-0.86209	-0.12413	-0.49132	 0.54542
-4.15339	-1.34143	-2.43924	-0.83068	-0.26829	-0.48785	 0.54542
-3.87712	-2.02545	-2.42187	-0.77542	-0.40509	-0.48437	 0.54542
-3.48976	-2.65328	-2.40451	-0.69795	-0.53066	-0.48090	 0.54542
-3.00255	-3.20721	-2.38715	-0.60051	-0.64144	-0.47743	 0.54542
-2.42947	-3.67175	-2.36979	-0.48589	-0.73435	-0.47396	 0.54542
-1.78682	-4.03402	-2.35243	-0.35736	-0.80680	-0.47049	 0.54542
-1.09278	-4.28407	-2.33507	-0.21856	-0.85681	-0.46701	 0.54542
-0.36680	-4.41517	-2.31771	-0.07336	-0.88303	-0.46354	 0.54542
 0.37087	-4.42390	-2.30035	 0.07417	-0.88478	-0.46007	 0.54542
 1.09980	-4.31027	-2.28299	 0.21996	-0.86205	-0.45660	 0.54542
 1.79990	-4.07766	-2.26563	 0.35998	-0.81553	-0.45313	 0.54542
 2.45200	-3.73269	-2.24826	 0.49040	-0.74654	-0.44965	 0.54542
 3.03838	-3.28502	-2.23090	 0.60768	-0.65700	-0.44618	 0.54542
 3.54317	-2.74703	-2.21354	 0.70863	-0.54941	-0.44271	 0.54542
 3.95285	-2.13349	-2.19618	 0.79057	-0.42670	-0.43924	 0.54542
 4.25650	-1.46114	-2.17882	 0.85130	-0.29223	-0.43576	 0.54542
 4.44616	-0.74820	-2.16146	 0.88923	-0.14964	-0.43229	 0.54542
 4.51693	-0.01385	-2.14410	 0.90339	-0.00277	-0.42882	 0.54542
 4.46715	 0.72221	-2.12674	 0.89343	 0.14444	-0.42535	 0.54542
 4.29835	 1.44039	-2.10938	 0.85967	 0.28808	-0.42188	 0.54542
 4.01523	 2.12165	-2.09201	 0.80305	 0.42433	-0.41840	 0.54542
 3.62548	 2.74804	-2.07465	 0.72510	 0.54961	-0.41493	 0.54542
 3.13954	 3.30316	-2.05729	 0.62791	 0.66063	-0.41146	 0.54542
 2.57035	 3.77253	-2.03993	 0.51407	 0.75451	-0.40799	 0.54542
 1.93295	 4.14402	-2.02257	 0.38659	 0.82880	-0.40451	 0.54542
 1.24408	 4.40811	-2.00521	 0.24882	 0.88162	-0.40104	 0.54542
 0.52173	 4.55810	-1.98785	 0.10435	 0.91162	-0.39757	 0.54542
-0.21534	 4.59030	-1.97049	-0.04307	 0.91806	-0.39410	 0.54542
-0.94804	 4.50406	-1.95313	-0.18961	 0.90081	-0.39063	 0.54542
-1.65754	 4.30179	-1.93576	-0.33151	 0.86036	-0.38715	 0.54542
-2.32566	 3.98886	-1.91840	-0.46513	 0.79777	-0.38368	 0.54542
-2.93537	 3.57346	-1.90104	-0.58707	 0.71469	-0.38021	 0.54542
-3.47121	 3.06634	-1.88368	-0.69424	 0.61327	-0.37674	 0.54542
-3.91968	 2.48051	-1.86632	-0.78394	 0.49610	-0.37326	 0.54542
-4.26953	 1.83096	-1.84896	-0.85391	 0.36619	-0.36979	 0.54542
-4.51208	 1.13419	-1.83160	-0.90242	 0.22684	-0.36632	 0.54542
-4.64136	 0.40783	-1.81424	-0.92827	 0.08157	-0.36285	 0.54542
-4.65429	-0.32984	-1.79688	-0.93086	-0.06597	-0.35938	 0.54542
-4.55072	-1.06031	-1.77951	-0.91014	-0.21206	-0.35590	 0.54542
-4.33340	-1.76536	-1.76215	-0.86668	-0.35307	-0.35243	 0.54542
-4.00789	-2.42746	-1.74479	-0.80158	-0.48549	-0.34896	 0.54542
-3.58243	-3.03021	-1.72743	-0.71649	-0.60604	-0.34549	 0.54542
-3.06770	-3.55878	-1.71007	-0.61354	-0.71176	-0.34201	 0.54542
-2.47653	-4.00019	-1.69271	-0.49531	-0.80004	-0.33854	 0.54542
-1.82358	-4.34370	-1.67535	-0.36472	-0.86874	-0.33507	 0.54542
-1.12499	-4.58099	-1.65799	-0.22500	-0.91620	-0.33160	 0.54542
-0.39793	-4.70638	-1.64063	-0.07959	-0.94128	-0.32813	 0.54542
 0.33979	-4.71694	-1.62326	 0.06796	-0.94339	-0.32465	 0.54542
 1.07017	-4.61257	-1.60590	 0.21403	-0.92251	-0.32118	 0.54542
 1.77545	-4.39594	-1.58854	 0.35509	-0.87919	-0.31771	 0.54542
 2.43854	-4.07246	-1.57118	 0.48771	-0.81449	-0.31424	 0.54542
 3.04347	-3.65006	-1.55382	 0.60869	-0.73001	-0.31076	 0.54542
 3.57568	-3.13908	-1.53646	 0.71514	-0.62782	-0.30729	 0.54542
 4.02244	-2.55192	-1.51910	 0.80449	-0.51038	-0.30382	 0.54542
 4.37312	-1.90279	-1.50174	 0.87462	-0.38056	-0.30035	 0.54542
 4.61942	-1.20731	-1.48437	 0.92388	-0.24146	-0.29687	 0.54542
 4.75556	-0.48217	-1.46701	 0.95111	-0.09643	-0.29340	 0.54542
 4.77842	 0.25528	-1.44965	 0.95568	 0.05106	-0.28993	 0.54542
